Male,White,0.14,-0.73,2.5,63.0,676.315771,4.0,3.0,0.0,37.0,1.0
Male,White,-1.48,0.0,3.5,69.0,681.578933,2.0,3.0,0.0,31.0,0.0
Male,White,0.61,-0.09,3.4,69.0,718.9473519999998,2.0,4.0,0.0,34.0,1.0
Male,White,0.14,-0.5,3.9,66.0,942.631555,3.0,5.0,0.0,45.0,1.0
Male,White,0.99,0.94,3.2,67.0,667.3684059999999,3.0,2.0,0.0,32.0,0.0
Female,White,-0.21,-0.55,3.4,69.0,782.1052440000001,4.0,3.0,0.0,38.0,1.0
Male,White,1.67,1.27,3.0,68.0,663.157879,4.0,2.0,0.0,33.0,1.0
Female,Other,-0.83,-0.31,3.3,53.0,677.3684059999998,2.0,4.0,0.0,32.0,1.0
Male,White,-0.12,-0.13,2.9,64.0,747.8947169999999,3.0,4.0,0.0,39.0,1.0
Female,White,0.48,-0.12,3.2,69.0,888.421028,4.0,4.0,0.0,46.0,1.0
Male,White,1.02,0.75,2.8,68.0,651.0526155,4.0,3.0,0.0,33.5,1.0
Female,White,0.0,0.0,3.6,68.0,723.157879,4.0,4.0,0.0,33.0,1.0
Female,White,1.27,0.87,3.8,69.0,948.421028,4.0,4.0,0.0,46.0,1.0
Female,White,1.22,0.97,3.9,68.0,800.526298,3.0,3.0,0.0,36.0,1.0
Female,Black,-1.31,-1.5,2.7,68.0,554.210514,2.0,4.0,0.0,28.0,1.0
Female,White,-0.03,-0.78,3.4,57.0,639.9999869999998,4.0,3.0,0.0,29.0,1.0
Male,White,0.11,0.2,3.2,69.0,714.736825,5.0,4.0,0.0,35.0,1.0
Male,White,-0.4,-0.87,3.1,67.0,736.315771,4.0,4.0,0.0,37.0,1.0
Male,White,1.3,1.51,3.2,67.0,714.736825,4.0,3.0,0.0,35.0,1.0
Male,White,0.09,-0.26,2.4,58.0,776.842082,4.0,5.0,0.0,44.0,1.0
Female,Black,-0.85,0.0,3.2,69.0,667.3684059999999,3.0,6.0,0.0,32.0,1.0
Female,White,0.05,0.03,3.8,69.0,885.2631359999998,3.0,6.0,0.0,42.0,1.0
Male,White,1.39,1.37,3.4,68.0,845.2631359999998,5.0,4.0,0.0,42.0,1.0
Male,White,0.86,0.98,3.4,69.0,718.9473519999998,4.0,3.0,0.0,34.0,1.0
Female,White,0.54,0.82,3.8,67.0,979.9999740000001,3.0,6.0,0.0,48.0,1.0
Male,White,-0.9,0.0,3.1,59.0,736.315771,2.0,3.0,1.0,37.0,0.0
Female,White,0.45,0.1,3.2,66.0,793.6841900000002,3.0,4.0,0.0,40.0,1.0
Male,Other,0.05,0.18,3.5,70.0,681.578933,3.0,5.0,0.0,31.0,1.0
Male,White,1.48,1.31,3.1,64.0,909.9999740000001,4.0,5.0,0.0,48.0,1.0
Female,White,-0.89,-0.48,3.3,69.0,661.578933,4.0,3.0,0.0,31.0,1.0
Male,White,-1.31,-1.34,3.8,65.0,932.631555,3.0,5.0,0.0,45.0,1.0
Male,Other,-1.62,-1.33,3.3,68.0,795.7894534999998,4.0,6.0,0.0,39.5,1.0
Male,White,-1.49,-1.69,2.9,69.0,637.3684059999998,4.0,3.0,0.0,32.0,1.0
Male,White,0.25,0.43,3.6,68.0,786.315771,3.0,5.0,0.0,37.0,0.0
Female,Black,-1.64,-0.67,2.5,67.0,423.684203,3.0,2.0,0.0,21.0,0.0
Male,White,-0.69,-0.83,2.2,68.0,630.526298,3.0,3.0,0.0,36.0,1.0
Male,White,-0.07,-1.06,3.1,63.0,752.1052440000001,3.0,3.0,0.0,38.0,0.0
